Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,1788.33997,1794.06995,1773.88,1777.65002,000,1777.65002
2013-11-19,1798.46997,1800.60999,1780.23999,1783.77002,000,1783.77002
2013-11-18,1821.33997,1822.67004,1798.34998,1801.26001,000,1801.26001
2013-11-15,1814.09998,1821.10999,1807.52002,1820.77002,000,1820.77002
2013-11-14,1801.62,1810.70996,1799.19995,1809.43994,000,1809.43994
2013-11-13,1782.20996,1811.64001,1781.66003,1811.58997,000,1811.58997
2013-11-12,1777.80005,1792.48999,1777.07996,1791.09998,000,1791.09998
2013-11-11,1777.55005,1784.45996,1771.53003,1782.00,000,1782.00
2013-11-08,1763.90002,1781.43005,1759.07996,1781.43005,000,1781.43005
2013-11-07,1787.81995,1790.78003,1756.15002,1758.20996,000,1758.20996
2013-11-06,1783.18005,1787.54004,1776.72998,1786.43005,000,1786.43005
2013-11-05,1773.07996,1781.46997,1764.69995,1777.43994,000,1777.43994
2013-11-04,1779.16003,1783.31995,1773.26001,1779.56995,000,1779.56995
2013-11-01,1781.73999,1785.20996,1765.73999,1775.23999,000,1775.23999
2013-10-31,1778.34998,1793.92004,1775.28003,1775.28003,000,1775.28003
2013-10-30,1795.75,1798.68005,1774.34998,1780.97998,000,1780.97998
2013-10-29,1780.69995,1788.45996,1779.44995,1788.43994,000,1788.43994
2013-10-28,1767.64001,1774.85999,1764.87,1773.16003,000,1773.16003
2013-10-25,1778.57996,1780.52002,1766.58997,1769.76001,000,1769.76001
2013-10-24,1764.33997,1771.46997,1760.98999,1767.70996,000,1767.70996
2013-10-23,1779.01001,1779.19995,1757.81995,1764.44995,000,1764.44995
2013-10-22,1808.03003,1810.75,1791.50,1799.39001,000,1799.39001
2013-10-21,1805.56995,1810.09998,1800.92004,1805.32996,000,1805.32996
2013-10-18,1785.85999,1800.47998,1782.42004,1799.70996,000,1799.70996
2013-10-17,1760.13,1778.48999,1756.43005,1778.07996,000,1778.07996
2013-10-16,1761.83997,1772.00,1760.23999,1767.93994,000,1767.93994
2013-10-15,1769.22998,1771.68994,1752.33997,1754.95996,000,1754.95996
2013-10-14,1749.83997,1775.18994,1748.58997,1773.87,000,1773.87
2013-10-11,1746.37,1767.04004,1745.82996,1762.88,000,1762.88
2013-10-10,1730.60999,1755.01001,1730.28003,1752.50,000,1752.50
2013-10-09,1731.85999,1733.68994,1703.43005,1719.48999,000,1719.48999
2013-10-08,1760.50,1762.76001,1722.73999,1725.54004,000,1725.54004
2013-10-07,1754.21997,1769.33997,1752.70996,1758.37,000,1758.37
2013-10-04,1748.35999,1772.50,1748.35999,1769.72998,000,1769.72998
2013-10-03,1764.66003,1767.82996,1734.66003,1748.50,000,1748.50
2013-10-02,1755.76001,1767.63,1754.28003,1766.07996,000,1766.07996
2013-10-01,1748.93994,1769.18994,1748.69995,1765.97998,000,1765.97998
2013-09-30,1733.41003,1754.97998,1730.22998,1750.28003,000,1750.28003
2013-09-27,1749.28003,1759.14001,1746.55005,1754.56006,000,1754.56006
2013-09-26,1760.94995,1766.37,1753.77002,1759.82996,000,1759.82996
2013-09-25,1752.91003,1762.22998,1744.39001,1754.31995,000,1754.31995
2013-09-24,1749.26001,1758.87,1740.27002,1749.91003,000,1749.91003
2013-09-23,1758.09998,1759.95996,1737.17004,1745.19995,000,1745.19995
2013-09-20,1766.76001,1768.29004,1753.10999,1755.43005,000,1755.43005
2013-09-19,1762.01001,1765.76001,1756.68005,1762.43005,000,1762.43005
2013-09-18,1746.22998,1758.39001,1740.95996,1758.21997,000,1758.21997
2013-09-17,1734.40002,1745.29004,1731.29004,1743.34998,000,1743.34998
2013-09-16,1742.06006,1742.84998,1725.81006,1728.25,000,1728.25
2013-09-13,1725.94995,1728.27002,1716.01001,1725.88,000,1725.88
2013-09-12,1729.43005,1733.55005,1721.70996,1723.55005,000,1723.55005
2013-09-11,1719.31006,1733.19995,1718.69995,1731.43994,000,1731.43994
2013-09-10,1715.87,1725.43005,1714.75,1724.45996,000,1724.45996
2013-09-09,1693.35999,1709.83997,1691.57996,1704.73999,000,1704.73999
2013-09-06,1690.90002,1695.21997,1667.18994,1686.35999,000,1686.35999
2013-09-05,1679.56006,1687.52002,1678.95996,1684.75,000,1684.75
2013-09-04,1663.63,1682.57996,1658.10999,1679.26001,000,1679.26001
2013-09-03,1661.21997,1672.57996,1650.89001,1658.45996,000,1658.45996
2013-08-30,1656.09998,1656.18994,1638.48999,1643.54004,000,1643.54004
2013-08-29,1635.66003,1658.63,1635.62,1653.04004,000,1653.04004
2013-08-28,1634.42004,1647.08997,1634.27002,1640.91003,000,1640.91003
2013-08-27,1648.27002,1651.27002,1628.06995,1631.12,000,1631.12
2013-08-26,1674.06006,1678.09998,1664.63,1667.06995,000,1667.06995
2013-08-23,1670.56995,1675.40002,1666.30005,1672.95996,000,1672.95996
2013-08-22,1651.68994,1664.93005,1651.65002,1663.66003,000,1663.66003
2013-08-21,1641.64001,1658.95996,1640.09998,1646.50,000,1646.50
2013-08-20,1645.48999,1655.14001,1642.35999,1649.53003,000,1649.53003
2013-08-19,1649.15002,1659.45996,1642.57996,1643.22998,000,1643.22998
2013-08-16,1652.21997,1659.84998,1650.65002,1650.80005,000,1650.80005
2013-08-15,1662.79004,1664.56006,1649.92004,1652.43005,000,1652.43005
2013-08-14,1694.02002,1696.18005,1686.16003,1688.30005,000,1688.30005
2013-08-13,1692.31995,1701.02002,1678.65002,1697.97998,000,1697.97998
2013-08-12,1677.43005,1692.29004,1677.18005,1689.25,000,1689.25
2013-08-09,1681.48999,1689.13,1677.40002,1682.20996,000,1682.20996
2013-08-08,1684.31006,1688.35999,1675.16003,1685.13,000,1685.13
2013-08-07,1674.13,1679.43994,1664.95996,1675.57996,000,1675.57996
2013-08-06,1686.57996,1688.94995,1675.22998,1679.89001,000,1679.89001
2013-08-05,1684.54004,1691.87,1683.60999,1688.56995,000,1688.56995
2013-08-02,1683.22998,1689.79004,1677.37,1689.79004,000,1689.79004
2013-08-01,1676.83997,1687.31995,1675.34998,1686.14001,000,1686.14001
2013-07-31,1657.92004,1670.35999,1656.27002,1660.97998,000,1660.97998
2013-07-30,1639.05005,1654.47998,1638.04004,1651.33997,000,1651.33997
