 
                                                                                                                                                                                                                                                                
 
  PERMNO        date    COMNAM                                 TICKER               PRC           VOL     SHROUT
   14593    20091110    APPLE INC                              AAPL           202.98000      14823938     900678
   14593    20091111    APPLE INC                              AAPL           203.25000      16345883     900678
   14593    20091112    APPLE INC                              AAPL           201.99001      13406586     900678
   14593    20091113    APPLE INC                              AAPL           204.45000      12710823     900678
   14593    20091116    APPLE INC                              AAPL           206.63000      17893110     900678
   14593    20091117    APPLE INC                              AAPL           207.00000      14709240     900678
   14593    20091118    APPLE INC                              AAPL           205.96001      13872640     900678
   14593    20091119    APPLE INC                              AAPL           200.50999      19941389     900678
   14593    20091120    APPLE INC                              AAPL           199.92000      14931552     900678
   14593    20091123    APPLE INC                              AAPL           205.88000      17814016     900678
   14593    20091124    APPLE INC                              AAPL           204.44000      11707843     900678
   14593    20091125    APPLE INC                              AAPL           204.19000      10539812     900678
   14593    20091127    APPLE INC                              AAPL           200.59000      10880390     900678
   14593    20091130    APPLE INC                              AAPL           199.91000      15622989     900678
   14593    20091201    APPLE INC                              AAPL           196.97000      17196298     900678
   14593    20091202    APPLE INC                              AAPL           196.23000      26155257     900678
   14593    20091203    APPLE INC                              AAPL           196.48000      16493311     900678
   14593    20091204    APPLE INC                              AAPL           193.32001      30258920     905349
   14593    20091207    APPLE INC                              AAPL           188.95000      26317884     905349
   14593    20091208    APPLE INC                              AAPL           189.87000      25351318     905349
   14593    20091209    APPLE INC                              AAPL           197.80000      25205077     905349
   14593    20091210    APPLE INC                              AAPL           196.42999      18014688     905349
   14593    20091211    APPLE INC                              AAPL           194.67000      15748899     905349
   14593    20091214    APPLE INC                              AAPL           196.98000      18290007     905349
   14593    20091215    APPLE INC                              AAPL           194.17000      15537416     905349
   14593    20091216    APPLE INC                              AAPL           195.03000      13106023     905349
   14593    20091217    APPLE INC                              AAPL           191.86000      14454858     905349
   14593    20091218    APPLE INC                              AAPL           195.42999      22159300     905349
   14593    20091221    APPLE INC                              AAPL           198.23000      22468457     905349
   14593    20091222    APPLE INC                              AAPL           200.36000      12919429     905349
   14593    20091223    APPLE INC                              AAPL           202.10001      12694277     905349
   14593    20091224    APPLE INC                              AAPL           209.03999      18352414     906282
   14593    20091228    APPLE INC                              AAPL           211.61000      23572391     906282
   14593    20091229    APPLE INC                              AAPL           209.10001      16299047     906282
   14593    20091230    APPLE INC                              AAPL           211.64000      15139706     906282
   14593    20091231    APPLE INC                              AAPL           210.73199      12885016     906282
   14593    20100104    APPLE INC                              AAPL           214.00999      18241224     906282
   14593    20100105    APPLE INC                              AAPL           214.38000      22082278     906282
   14593    20100106    APPLE INC                              AAPL           210.97000      20396105     906282
   14593    20100107    APPLE INC                              AAPL           210.58000      17628746     906282
   14593    20100108    APPLE INC                              AAPL           211.98000      16553861     906282
   14593    20100111    APPLE INC                              AAPL           210.11000      17085997     906282
   14593    20100112    APPLE INC                              AAPL           207.72000      21903456     906282
   14593    20100113    APPLE INC                              AAPL           210.64999      22267060     906282
   14593    20100114    APPLE INC                              AAPL           209.42999      15811930     906282
   14593    20100115    APPLE INC                              AAPL           205.92999      21792710     906795
   14593    20100119    APPLE INC                              AAPL           215.03999      26597167     906795
   14593    20100120    APPLE INC                              AAPL           211.72501      22433416     906795
   14593    20100121    APPLE INC                              AAPL           208.07201      22339679     906795
   14593    20100122    APPLE INC                              AAPL           197.75000      32353278     906795
   14593    20100125    APPLE INC                              AAPL           203.07500      39316161     906795
   14593    20100126    APPLE INC                              AAPL           205.94000      68057437     906795
   14593    20100127    APPLE INC                              AAPL           207.88400      63634021     906795
   14593    20100128    APPLE INC                              AAPL           199.28999      43123961     906795
   14593    20100129    APPLE INC                              AAPL           192.06300      45971390     906795
   14593    20100201    APPLE INC                              AAPL           194.73000      27576409     906795
   14593    20100202    APPLE INC                              AAPL           195.86000      25627574     906795
   14593    20100203    APPLE INC                              AAPL           199.23000      22553343     906795
   14593    20100204    APPLE INC                              AAPL           192.05000      27796720     906795
   14593    20100205    APPLE INC                              AAPL           195.46001      31211996     906795
   14593    20100208    APPLE INC                              AAPL           194.12000      17568306     906795
   14593    20100209    APPLE INC                              AAPL           196.19000      23130192     906795
   14593    20100210    APPLE INC                              AAPL           195.11600      13886651     906795
   14593    20100211    APPLE INC                              AAPL           198.67000      20170465     906795
   14593    20100212    APPLE INC                              AAPL           200.38000      23899479     906795
   14593    20100216    APPLE INC                              AAPL           203.39999      19861692     906795
   14593    20100217    APPLE INC                              AAPL           202.55000      15976141     906795
   14593    20100218    APPLE INC                              AAPL           202.92799      15451881     906795
   14593    20100219    APPLE INC                              AAPL           201.67000      15186275     906795
   14593    20100222    APPLE INC                              AAPL           200.41600      14292683     906795
   14593    20100223    APPLE INC                              AAPL           197.05901      20973110     906795
   14593    20100224    APPLE INC                              AAPL           200.65601      16857464     906795
   14593    20100225    APPLE INC                              AAPL           202.00000      24323109     906795
   14593    20100226    APPLE INC                              AAPL           204.62000      18495264     906795
   14593    20100301    APPLE INC                              AAPL           208.99001      20167640     906795
   14593    20100302    APPLE INC                              AAPL           208.85001      20646228     906795
   14593    20100303    APPLE INC                              AAPL           209.33000      13650536     906795
   14593    20100304    APPLE INC                              AAPL           210.71001      13415703     906795
   14593    20100305    APPLE INC                              AAPL           218.95000      33067131     906795
   14593    20100308    APPLE INC                              AAPL           219.08000      15859399     906795
   14593    20100309    APPLE INC                              AAPL           223.02000      33547308     906795
   14593    20100310    APPLE INC                              AAPL           224.84000      21794275     906795
   14593    20100311    APPLE INC                              AAPL           225.50000      14862442     906795
   14593    20100312    APPLE INC                              AAPL           226.60001      15240222     906795
   14593    20100315    APPLE INC                              AAPL           223.84000      18067401     906795
   14593    20100316    APPLE INC                              AAPL           224.45000      16323981     906795
   14593    20100317    APPLE INC                              AAPL           224.12000      16481121     906795
   14593    20100318    APPLE INC                              AAPL           224.64999      12575771     906795
   14593    20100319    APPLE INC                              AAPL           222.24989      20532679     906795
   14593    20100322    APPLE INC                              AAPL           224.75000      16726458     906795
   14593    20100323    APPLE INC                              AAPL           228.36000      22018437     906795
   14593    20100324    APPLE INC                              AAPL           229.37000      21782020     906795
   14593    20100325    APPLE INC                              AAPL           226.64999      19886378     906795
   14593    20100326    APPLE INC                              AAPL           230.89999      23416104     909636
   14593    20100329    APPLE INC                              AAPL           232.39000      19811377     909636
   14593    20100330    APPLE INC                              AAPL           235.84500      19425617     909636
   14593    20100331    APPLE INC                              AAPL           235.00000      15807603     909636
   14593    20100401    APPLE INC                              AAPL           235.97000      22189562     909636
   14593    20100405    APPLE INC                              AAPL           238.49001      25113739     909636
   14593    20100406    APPLE INC                              AAPL           239.53999      16382984     909636
   14593    20100407    APPLE INC                              AAPL           240.60001      22995751     909636
   14593    20100408    APPLE INC                              AAPL           239.95000      20945986     909636
   14593    20100409    APPLE INC                              AAPL           241.78999      12249340     909938
   14593    20100412    APPLE INC                              AAPL           242.28999      12219470     909938
   14593    20100413    APPLE INC                              AAPL           242.42999      11275587     909938
   14593    20100414    APPLE INC                              AAPL           245.69000      14871328     909938
   14593    20100415    APPLE INC                              AAPL           248.92000      13870317     909938
   14593    20100416    APPLE INC                              AAPL           247.39999      27428929     909938
   14593    20100419    APPLE INC                              AAPL           247.07001      20791561     909938
   14593    20100420    APPLE INC                              AAPL           244.59000      27242351     909938
   14593    20100421    APPLE INC                              AAPL           259.22000      36080744     909938
   14593    20100422    APPLE INC                              AAPL           266.46951      29059869     909938
   14593    20100423    APPLE INC                              AAPL           270.82999      29154514     909938
   14593    20100426    APPLE INC                              AAPL           269.50000      17568016     909938
   14593    20100427    APPLE INC                              AAPL           262.04001      26050382     909938
   14593    20100428    APPLE INC                              AAPL           261.60001      27891682     909938
   14593    20100429    APPLE INC                              AAPL           268.64001      20456235     909938
   14593    20100430    APPLE INC                              AAPL           261.09000      20096137     909938
   14593    20100503    APPLE INC                              AAPL           266.35001      16722152     909938
   14593    20100504    APPLE INC                              AAPL           258.67999      26838617     909938
   14593    20100505    APPLE INC                              AAPL           255.98500      32555484     909938
   14593    20100506    APPLE INC                              AAPL           246.25000      47763853     909938
   14593    20100507    APPLE INC                              AAPL           235.86000      61546277     909938
   14593    20100510    APPLE INC                              AAPL           253.99001      36310334     909938
   14593    20100511    APPLE INC                              AAPL           256.51999      31269540     909938
   14593    20100512    APPLE INC                              AAPL           262.09000      24099496     909938
   14593    20100513    APPLE INC                              AAPL           258.35999      22179766     909938
   14593    20100514    APPLE INC                              AAPL           253.82001      27969213     909938
   14593    20100517    APPLE INC                              AAPL           254.22000      27927686     909938
   14593    20100518    APPLE INC                              AAPL           252.36000      28651736     909938
   14593    20100519    APPLE INC                              AAPL           248.34000      37588716     909938
